OMR Version,Policy # (masked),Odom Reading 1 (Previous),Odom Reading 1 (Update),Odom Reading 2 (Previous),Odom Reading 2 (Update),Odom Reading 3 (Previous),Odom Reading 3 (Update),Odom Reading 4 (Previous),Odom Reading 4 (Update),Odom Reading All (Previous),Odom Reading All (Update),Diff All,Count1,Count2,Count3,Count4,#Cars in Policy
Sign Top,64,78704,109065,,,17406,34540,,,48055,71802.5,23747.5,1,0,1,0,2
Sign Bottom,65,59970,89440,64900,83080,,,,,62435,86260,23825,1,1,0,0,2
Sign Bottom,66,86465,123221,,,,,,,86465,123221,36756,1,0,0,0,1
Sign Top,67,15,5037,,,,,,,15,5037,5022,1,0,0,0,1
Sign Bottom,68,61791,94082,,,,,,,61791,94082,32291,1,0,0,0,1
Sign Bottom,69,73000,90287,,,,,,,73000,90287,17287,1,0,0,0,1
Sign Bottom,70,125683,163995,,,,,,,125683,163995,38312,1,0,0,0,1
Sign Bottom,71,194677,198762,,,,,2827,39716,98752,119239,20487,1,0,0,1,2
Sign Bottom,72,23929,30565,,,,,,,23929,30565,6636,1,0,0,0,1
Sign Bottom,73,5551,12902,8982,50135,,,,,7266.5,31518.5,24252,1,1,0,0,2
Sign Top,74,23,9378,51527,81330,,,,,25775,45354,19579,1,1,0,0,2
Sign Top,75,140000,150928,55345,103321,,,,,97672.5,127124.5,29452,1,1,0,0,2
Sign Top,76,45000,65534,3324,40014,,,,,24162,52774,28612,1,1,0,0,2
Sign Bottom,77,14418,28096,,,,,,,14418,28096,13678,1,0,0,0,1
Sign Top,78,15643,60317,,,168238,212633,,,91940.5,136475,44534.5,1,0,1,0,2
Sign Bottom,79,73166,103756,,,,,,,73166,103756,30590,1,0,0,0,1
Sign Top,80,62500,90815,,,,,,,62500,90815,28315,1,0,0,0,1
Sign Bottom,81,42537,82832,55492,69884,,,,,49014.5,76358,27343.5,1,1,0,0,2
Sign Bottom,82,49732,87637,,,,,,,49732,87637,37905,1,0,0,0,1
Sign Top,83,4225,11848,,,,,,,4225,11848,7623,1,0,0,0,1
Sign Top,84,68511,108435,,,,,,,68511,108435,39924,1,0,0,0,1
Sign Bottom,85,121183,133548,,,,,,,121183,133548,12365,1,0,0,0,1
Sign Top,86,108698,152103,47553,62436,,,,,78125.5,107269.5,29144,1,1,0,0,2
Sign Top,87,29783,64198,,,,,,,29783,64198,34415,1,0,0,0,1
Sign Top,88,96000,131817,,,,,,,96000,131817,35817,1,0,0,0,1
Sign Top,89,24091,28451,,,,,,,24091,28451,4360,1,0,0,0,1
Sign Bottom,90,55733,70102,,,,,,,55733,70102,14369,1,0,0,0,1
Sign Top,91,127000,165152,,,,,,,127000,165152,38152,1,0,0,0,1
Sign Top,92,130000,137606,14319,40239,,,,,72159.5,88922.5,16763,1,1,0,0,2
Sign Top,93,75409,81093,,,,,,,75409,81093,5684,1,0,0,0,1
Sign Top,94,39,35190,,,,,,,39,35190,35151,1,0,0,0,1
Sign Top,95,815,9489,,,,,,,815,9489,8674,1,0,0,0,1
Sign Bottom,96,61099,89389,30266,47067,,,,,45682.5,68228,22545.5,1,1,0,0,2
Sign Bottom,97,101658,136696,38662,49410,,,119860,126644,86726.66667,104250,17523.33333,1,1,0,1,3
Sign Top,98,140184,170694,,,,,,,140184,170694,30510,1,0,0,0,1
Sign Bottom,99,36169,59997,36231,54636,,,,,36200,57316.5,21116.5,1,1,0,0,2
Sign Bottom,100,41684,83436,,,,,,,41684,83436,41752,1,0,0,0,1
Sign Top,101,65359,81621,,,,,,,65359,81621,16262,1,0,0,0,1
Sign Top,102,167566,181690,63031,105802,,,,,115298.5,143746,28447.5,1,1,0,0,2
Sign Bottom,103,276481,294755,103043,118247,,,120440,138477,166654.6667,183826.3333,17171.66667,1,1,0,1,3
Sign Bottom,104,5831,36253,,,,,,,5831,36253,30422,1,0,0,0,1
Sign Bottom,105,186740,207838,,,,,,,186740,207838,21098,1,0,0,0,1
Sign Top,106,25000,64152,,,,,,,25000,64152,39152,1,0,0,0,1
Sign Top,107,87892,126909,,,,,,,87892,126909,39017,1,0,0,0,1
Sign Bottom,108,69946,115257,1682,33743,,,,,35814,74500,38686,1,1,0,0,2
Sign Bottom,109,56136,96505,,,,,,,56136,96505,40369,1,0,0,0,1
Sign Top,110,50468,99285,,,,,,,50468,99285,48817,1,0,0,0,1
Sign Top,111,601,6240,17457,59743,,,,,9029,32991.5,23962.5,1,1,0,0,2
Sign Top,112,44668,67176,,,,,,,44668,67176,22508,1,0,0,0,1
Sign Top,113,57316,76622,80956,89377,755,50290,,,46342.33333,72096.33333,25754,1,1,1,0,3
Sign Top,114,61424,97120,,,,,,,61424,97120,35696,1,0,0,0,1
Sign Bottom,115,111069,155135,,,,,,,111069,155135,44066,1,0,0,0,1
Sign Top,116,91258,103454,145495,178663,,,,,118376.5,141058.5,22682,1,1,0,0,2
Sign Bottom,117,160251,166627,67999,89508,,,,,114125,128067.5,13942.5,1,1,0,0,2
Sign Bottom,118,20500,36127,30600,38388,,,,,25550,37257.5,11707.5,1,1,0,0,2
Sign Top,119,0,20345,,,,,,,0,20345,20345,1,0,0,0,1
Sign Bottom,120,271738,281573,39993,52153,,,,,155865.5,166863,10997.5,1,1,0,0,2
Sign Top,121,11241,38298,30,38925,,,,,5635.5,38611.5,32976,1,1,0,0,2
Sign Bottom,122,43191,56235,,,,,,,43191,56235,13044,1,0,0,0,1
Sign Bottom,123,16588,48888,68500,116503,134806,144835,,,73298,103408.6667,30110.66667,1,1,1,0,3
Sign Bottom,124,54860,66734,,,,,,,54860,66734,11874,1,0,0,0,1
Sign Bottom,125,209713,213965,,,,,,,209713,213965,4252,1,0,0,0,1
Sign Top,126,96985,141240,7059,24873,,,,,52022,83056.5,31034.5,1,1,0,0,2
Sign Top,127,73811,116476,,,,,,,73811,116476,42665,1,0,0,0,1
Sign Top,128,94000,139018,,,,,,,94000,139018,45018,1,0,0,0,1
Sign Top,129,59179,67495,5510,28503,,,,,32344.5,47999,15654.5,1,1,0,0,2
Sign Top,130,0,19287,,,,,,,0,19287,19287,1,0,0,0,1
Sign Top,131,6830,8069,31229,56246,,,,,19029.5,32157.5,13128,1,1,0,0,2
Sign Top,132,88737,103166,68830,92442,,,,,78783.5,97804,19020.5,1,1,0,0,2
Sign Bottom,133,15883,53595,,,,,,,15883,53595,37712,1,0,0,0,1
Sign Bottom,134,288120,297908,,,,,,,288120,297908,9788,1,0,0,0,1
Sign Bottom,135,85430,102716,,,,,,,85430,102716,17286,1,0,0,0,1
Sign Bottom,136,79651,115410,,,,,,,79651,115410,35759,1,0,0,0,1
Sign Bottom,137,94055,111152,,,,,,,94055,111152,17097,1,0,0,0,1
Sign Top,138,87122,106098,,,,,,,87122,106098,18976,1,0,0,0,1
Sign Top,139,88030,137644,,,,,,,88030,137644,49614,1,0,0,0,1
Sign Top,140,106250,121128,230160,271279,,,,,168205,196203.5,27998.5,1,1,0,0,2
Sign Bottom,141,85754,94842,,,,,,,85754,94842,9088,1,0,0,0,1
Sign Bottom,142,177719,212591,,,,,,,177719,212591,34872,1,0,0,0,1
Sign Bottom,143,49013,68209,,,,,,,49013,68209,19196,1,0,0,0,1
Sign Top,144,88658,99301,230415,232453,,,,,159536.5,165877,6340.5,1,1,0,0,2
Sign Bottom,145,27229,34091,,,,,,,27229,34091,6862,1,0,0,0,1
Sign Bottom,146,51767,89619,,,,,,,51767,89619,37852,1,0,0,0,1
Sign Bottom,147,37638,70445,50381,83672,,,,,44009.5,77058.5,33049,1,1,0,0,2
Sign Top,148,23701,55902,,,,,,,23701,55902,32201,1,0,0,0,1
Sign Bottom,149,56800,65906,,,,,,,56800,65906,9106,1,0,0,0,1
Sign Top,150,396,38222,,,,,,,396,38222,37826,1,0,0,0,1
Sign Bottom,151,398,18161,,,,,,,398,18161,17763,1,0,0,0,1
Sign Top,152,252045,273571,83125,120471,,,,,167585,197021,29436,1,1,0,0,2
Sign Top,153,112557,127465,68828,112425,,,7479,31264,62954.66667,90384.66667,27430,1,1,0,1,3
Sign Bottom,154,24130,34746,,,,,,,24130,34746,10616,1,0,0,0,1
Sign Bottom,155,97695,122888,102000,126207,,,,,99847.5,124547.5,24700,1,1,0,0,2
Sign Bottom,156,45443,85022,24492,72792,,,,,34967.5,78907,43939.5,1,1,0,0,2
Sign Top,157,2,15341,,,,,,,2,15341,15339,1,0,0,0,1
Sign Top,158,153379,156774,,,,,,,153379,156774,3395,1,0,0,0,1
Sign Top,159,80000,91432,70346,118859,,,,,75173,105145.5,29972.5,1,1,0,0,2
Sign Top,160,94000,108311,,,,,,,94000,108311,14311,1,0,0,0,1
Sign Top,161,228964,260720,393,42061,,,,,114678.5,151390.5,36712,1,1,0,0,2
Sign Bottom,162,17851,37494,,,,,,,17851,37494,19643,1,0,0,0,1
Sign Bottom,163,109111,112790,83562,104031,,,,,96336.5,108410.5,12074,1,1,0,0,2
Sign Top,164,38409,73694,,,,,,,38409,73694,35285,1,0,0,0,1
Sign Top,165,2820,19033,884,39263,,,,,1852,29148,27296,1,1,0,0,2
Sign Bottom,166,89927,106207,,,,,,,89927,106207,16280,1,0,0,0,1
Sign Top,167,54000,87917,,,,,,,54000,87917,33917,1,0,0,0,1
Sign Top,168,36200,84843,1,24418,456,20647,,,12219,43302.66667,31083.66667,1,1,1,0,3
Sign Bottom,169,50112,91739,77011,112606,,,,,63561.5,102172.5,38611,1,1,0,0,2
Sign Bottom,170,75340,122725,70056,103880,79012,89377,,,74802.66667,105327.3333,30524.66667,1,1,1,0,3
Sign Top,171,8133,11912,,,,,,,8133,11912,3779,1,0,0,0,1
Sign Bottom,172,17259,20872,54173,79389,,,,,35716,50130.5,14414.5,1,1,0,0,2
Sign Top,173,26400,59788,48000,72497,,,,,37200,66142.5,28942.5,1,1,0,0,2
Sign Bottom,174,94678,106982,,,4973,27149,,,49825.5,67065.5,17240,1,0,1,0,2
Sign Top,175,68336,69348,990,18738,,,,,34663,44043,9380,1,1,0,0,2
Sign Bottom,176,74956,106491,97621,130365,,,,,86288.5,118428,32139.5,1,1,0,0,2
Sign Top,177,36631,74814,103651,146827,,,,,70141,110820.5,40679.5,1,1,0,0,2
Sign Bottom,178,7871,41050,,,,,,,7871,41050,33179,1,0,0,0,1
Sign Bottom,179,28047,37187,,,,,,,28047,37187,9140,1,0,0,0,1
Sign Bottom,180,124622,163215,,,,,,,124622,163215,38593,1,0,0,0,1
Sign Bottom,181,75919,105895,70097,91469,79932,129345,,,75316,108903,33587,1,1,1,0,3
Sign Top,182,33800,56736,,,,,,,33800,56736,22936,1,0,0,0,1
Sign Bottom,183,60085,74514,4500,48918,2564,43331,,,22383,55587.66667,33204.66667,1,1,1,0,3
Sign Top,184,180729,203634,32802,82716,,,,,106765.5,143175,36409.5,1,1,0,0,2
Sign Top,185,15138,29016,,,,,,,15138,29016,13878,1,0,0,0,1
Sign Top,186,17284,32912,,,,,,,17284,32912,15628,1,0,0,0,1
Sign Top,187,62315,96245,,,,,,,62315,96245,33930,1,0,0,0,1
Sign Top,188,441,20768,154,42193,,,,,297.5,31480.5,31183,1,1,0,0,2
Sign Top,189,14,42134,,,,,,,14,42134,42120,1,0,0,0,1
Sign Bottom,190,37600,73833,,,,,,,37600,73833,36233,1,0,0,0,1
Sign Top,191,40000,45721,,,,,,,40000,45721,5721,1,0,0,0,1
Sign Top,192,10196,39044,,,,,,,10196,39044,28848,1,0,0,0,1
Sign Top,193,18953,37064,32000,50340,,,,,25476.5,43702,18225.5,1,1,0,0,2
Sign Bottom,194,63602,97404,,,,,,,63602,97404,33802,1,0,0,0,1
Sign Top,195,63600,110370,,,,,,,63600,110370,46770,1,0,0,0,1
Sign Top,196,67507,87153,,,,,,,67507,87153,19646,1,0,0,0,1
Sign Top,197,308,29500,,,,,,,308,29500,29192,1,0,0,0,1
Sign Top,198,10000,15081,,,,,,,10000,15081,5081,1,0,0,0,1
Sign Top,199,65980,104295,,,,,,,65980,104295,38315,1,0,0,0,1
Sign Top,200,9063,40947,29224,57515,,,,,19143.5,49231,30087.5,1,1,0,0,2
Sign Top,201,590,19316,63315,91411,,,,,31952.5,55363.5,23411,1,1,0,0,2
Sign Bottom,202,50646,86640,,,,,,,50646,86640,35994,1,0,0,0,1
Sign Top,203,23213,49047,,,,,20516,55095,21864.5,52071,30206.5,1,0,0,1,2
Sign Bottom,204,88797,97380,66079,78161,,,,,77438,87770.5,10332.5,1,1,0,0,2
Sign Top,205,61415,83697,5756,9068,,,,,33585.5,46382.5,12797,1,1,0,0,2
Sign Bottom,206,32663,48844,,,,,,,32663,48844,16181,1,0,0,0,1
Sign Top,207,126994,141997,23128,69278,,,,,75061,105637.5,30576.5,1,1,0,0,2
Sign Bottom,208,51205,98064,22047,26593,,,43600,76920,38950.66667,67192.33333,28241.66667,1,1,0,1,3
Sign Bottom,209,82291,119431,62290,79055,,,,,72290.5,99243,26952.5,1,1,0,0,2
Sign Bottom,210,185718,195924,,,,,,,185718,195924,10206,1,0,0,0,1
Sign Bottom,211,75642,94148,,,67998,84459,,,71820,89303.5,17483.5,1,0,1,0,2
Sign Top,212,63275,72883,,,78878,111883,,,71076.5,92383,21306.5,1,0,1,0,2
Sign Top,213,5,31002,,,,,,,5,31002,30997,1,0,0,0,1
Sign Bottom,214,84780,110838,75642,79440,,,,,80211,95139,14928,1,1,0,0,2
Sign Bottom,215,74007,77015,,,,,,,74007,77015,3008,1,0,0,0,1
Sign Bottom,216,66782,112613,88544,94387,,,,,77663,103500,25837,1,1,0,0,2
Sign Top,217,128503,165168,,,,,,,128503,165168,36665,1,0,0,0,1
Sign Bottom,218,16910,31340,,,,,,,16910,31340,14430,1,0,0,0,1
Sign Top,219,75813,95068,,,,,,,75813,95068,19255,1,0,0,0,1
Sign Top,220,689,11841,56154,63691,72407,101274,,,43083.33333,58935.33333,15852,1,1,1,0,3
Sign Bottom,221,55170,99166,,,,,,,55170,99166,43996,1,0,0,0,1
Sign Bottom,222,81000,127399,68680,91653,,,,,74840,109526,34686,1,1,0,0,2
Sign Top,223,101313,105928,62480,102352,,,,,81896.5,104140,22243.5,1,1,0,0,2
Sign Top,224,79771,115333,,,,,,,79771,115333,35562,1,0,0,0,1
Sign Top,225,18834,35961,130000,155833,,,,,74417,95897,21480,1,1,0,0,2
Sign Top,226,98319,147607,74432,80291,,,,,86375.5,113949,27573.5,1,1,0,0,2
Sign Top,227,12,49085,31364,33362,,,,,15688,41223.5,25535.5,1,1,0,0,2
Sign Top,228,258934,288802,97490,114669,,,,,178212,201735.5,23523.5,1,1,0,0,2
Sign Bottom,229,91289,112307,45785,58054,,,,,68537,85180.5,16643.5,1,1,0,0,2
Sign Bottom,230,78946,109800,73714,103277,,,,,76330,106538.5,30208.5,1,1,0,0,2
Sign Bottom,231,126940,151587,18,39807,,,,,63479,95697,32218,1,1,0,0,2
Sign Top,232,119373,151859,,,,,,,119373,151859,32486,1,0,0,0,1
Sign Bottom,233,181507,192554,,,,,,,181507,192554,11047,1,0,0,0,1
Sign Bottom,234,40538,74941,,,,,,,40538,74941,34403,1,0,0,0,1
Sign Bottom,235,118309,134879,86364,133066,,,,,102336.5,133972.5,31636,1,1,0,0,2
Sign Bottom,236,130248,154030,,,,,,,130248,154030,23782,1,0,0,0,1
Sign Bottom,237,160578,178701,,,,,,,160578,178701,18123,1,0,0,0,1
Sign Top,238,70810,109296,,,,,,,70810,109296,38486,1,0,0,0,1
Sign Top,239,55000,93963,60000,61619,,,,,57500,77791,20291,1,1,0,0,2
Sign Bottom,240,96944,109908,,,,,,,96944,109908,12964,1,0,0,0,1
Sign Top,241,51843,52074,74504,112429,,,,,63173.5,82251.5,19078,1,1,0,0,2
Sign Top,242,67114,71020,,,,,743,21748,33928.5,46384,12455.5,1,0,0,1,2
Sign Top,243,52878,100716,,,,,,,52878,100716,47838,1,0,0,0,1
Sign Bottom,244,53635,88337,,,,,,,53635,88337,34702,1,0,0,0,1
Sign Bottom,245,103548,106436,,,,,,,103548,106436,2888,1,0,0,0,1
Sign Bottom,246,124399,127841,,,,,,,124399,127841,3442,1,0,0,0,1
Sign Top,247,23000,36643,,,,,,,23000,36643,13643,1,0,0,0,1
Sign Bottom,248,15033,39732,138584,156437,,,,,76808.5,98084.5,21276,1,1,0,0,2
Sign Bottom,249,153619,197589,104590,151731,,,,,129104.5,174660,45555.5,1,1,0,0,2
Sign Top,250,61501,69975,15720,25916,,,,,38610.5,47945.5,9335,1,1,0,0,2
Sign Bottom,251,6053,40964,24663,71696,,,,,15358,56330,40972,1,1,0,0,2
Sign Top,252,125832,132087,,,,,,,125832,132087,6255,1,0,0,0,1
Sign Bottom,253,33092,52002,,,,,,,33092,52002,18910,1,0,0,0,1
Sign Top,254,83573,108301,,,,,,,83573,108301,24728,1,0,0,0,1
Sign Top,255,32518,77697,,,,,,,32518,77697,45179,1,0,0,0,1
Sign Top,256,516,21437,686,42079,,,,,601,31758,31157,1,1,0,0,2
Sign Bottom,257,5645,16666,20739,52803,,,,,13192,34734.5,21542.5,1,1,0,0,2
Sign Top,258,74650,91119,182795,220179,,,,,128722.5,155649,26926.5,1,1,0,0,2
Sign Bottom,259,25070,42994,,,,,,,25070,42994,17924,1,0,0,0,1
Sign Bottom,260,15490,18116,,,,,,,15490,18116,2626,1,0,0,0,1
Sign Top,261,36000,80431,,,,,,,36000,80431,44431,1,0,0,0,1
Sign Bottom,262,87831,90183,,,,,,,87831,90183,2352,1,0,0,0,1
Sign Top,263,12000,16762,21538,69718,,,,,16769,43240,26471,1,1,0,0,2
Sign Bottom,264,16287,42941,50099,88020,,,,,33193,65480.5,32287.5,1,1,0,0,2
Sign Bottom,265,63949,110881,,,,,,,63949,110881,46932,1,0,0,0,1
Sign Top,266,22552,63768,31575,47246,,,,,27063.5,55507,28443.5,1,1,0,0,2
Sign Bottom,267,85833,132736,171548,215873,,,,,128690.5,174304.5,45614,1,1,0,0,2
Sign Bottom,268,29466,50665,,,,,,,29466,50665,21199,1,0,0,0,1
Sign Bottom,269,19525,19720,,,,,,,19525,19720,195,1,0,0,0,1
Sign Top,270,95000,128625,,,,,,,95000,128625,33625,1,0,0,0,1
Sign Top,271,49340,74498,99000,119106,,,,,74170,96802,22632,1,1,0,0,2
Sign Top,272,86052,105313,,,,,,,86052,105313,19261,1,0,0,0,1
Sign Bottom,273,70000,118465,61873,108482,79146,121010,,,70339.66667,115985.6667,45646,1,1,1,0,3
Sign Top,274,180000,206797,75000,121174,,,,,127500,163985.5,36485.5,1,1,0,0,2
Sign Bottom,275,15031,43239,230000,275242,36930,85970,,,93987,134817,40830,1,1,1,0,3
Sign Bottom,276,69438,76270,,,,,,,69438,76270,6832,1,0,0,0,1
Sign Top,277,95000,114444,25000,34307,,,,,60000,74375.5,14375.5,1,1,0,0,2
Sign Bottom,278,22009,44787,29622,78110,,,,,25815.5,61448.5,35633,1,1,0,0,2
Sign Top,279,37573,55850,799,5758,,,,,19186,30804,11618,1,1,0,0,2
Sign Top,280,111013,120209,,,,,,,111013,120209,9196,1,0,0,0,1
Sign Top,281,133556,144897,112262,137827,,,,,122909,141362,18453,1,1,0,0,2
Sign Top,282,88149,124474,94804,144632,,,,,91476.5,134553,43076.5,1,1,0,0,2
Sign Bottom,283,92264,92710,,,,,,,92264,92710,446,1,0,0,0,1
Sign Top,284,6722,23878,,,,,,,6722,23878,17156,1,0,0,0,1
Sign Bottom,285,48795,95386,211445,236005,,,,,130120,165695.5,35575.5,1,1,0,0,2
Sign Top,286,74000,76766,,,,,,,74000,76766,2766,1,0,0,0,1
Sign Top,287,17042,35653,1017,18714,,,,,9029.5,27183.5,18154,1,1,0,0,2
Sign Top,288,122909,163225,,,61572,100255,,,92240.5,131740,39499.5,1,0,1,0,2
Sign Bottom,289,85472,132388,,,,,,,85472,132388,46916,1,0,0,0,1
Sign Bottom,290,68601,83651,,,,,,,68601,83651,15050,1,0,0,0,1
Sign Bottom,291,58701,91946,,,,,,,58701,91946,33245,1,0,0,0,1
Sign Bottom,292,57658,88770,,,,,72468,93255,65063,91012.5,25949.5,1,0,0,1,2
Sign Bottom,293,51352,85295,,,,,,,51352,85295,33943,1,0,0,0,1
Sign Bottom,294,53764,70606,,,,,,,53764,70606,16842,1,0,0,0,1
Sign Top,295,33417,59752,,,,,,,33417,59752,26335,1,0,0,0,1
Sign Bottom,296,80223,112940,4095,11159,,,,,42159,62049.5,19890.5,1,1,0,0,2
Sign Top,297,524,28298,,,487,35203,,,505.5,31750.5,31245,1,0,1,0,2
Sign Bottom,298,93216,118199,,,,,,,93216,118199,24983,1,0,0,0,1
Sign Bottom,299,51054,80935,120012,160582,,,,,85533,120758.5,35225.5,1,1,0,0,2
Sign Top,300,112484,154782,,,,,,,112484,154782,42298,1,0,0,0,1
Sign Bottom,301,86000,131981,,,,,,,86000,131981,45981,1,0,0,0,1
Sign Bottom,302,28916,43113,132152,165024,,,,,80534,104068.5,23534.5,1,1,0,0,2
Sign Bottom,303,67000,72551,88000,120412,,,,,77500,96481.5,18981.5,1,1,0,0,2
Sign Top,304,417,2062,130953,179385,,,,,65685,90723.5,25038.5,1,1,0,0,2
Sign Bottom,305,28410,30072,28867,57760,,,,,28638.5,43916,15277.5,1,1,0,0,2
Sign Top,306,39203,41527,,,,,,,39203,41527,2324,1,0,0,0,1
Sign Top,307,130081,146239,,,102406,122917,,,116243.5,134578,18334.5,1,0,1,0,2
Sign Top,308,79158,103979,37878,52049,,,,,58518,78014,19496,1,1,0,0,2
Sign Bottom,309,13405,30197,,,,,,,13405,30197,16792,1,0,0,0,1
Sign Bottom,310,50880,90723,103236,130764,,,,,77058,110743.5,33685.5,1,1,0,0,2
Sign Bottom,311,10738,60577,73633,74510,,,,,42185.5,67543.5,25358,1,1,0,0,2
Sign Bottom,312,103136,109084,101677,114536,,,,,102406.5,111810,9403.5,1,1,0,0,2
Sign Bottom,313,13401,13435,,,,,,,13401,13435,34,1,0,0,0,1
Sign Bottom,314,57734,80781,,,106141,131716,,,81937.5,106248.5,24311,1,0,1,0,2
